timestep,reward
44,40.672
66044,40.419
132044,40.812
198044,40.422
264044,40.35
330044,41.553
396044,41.111
462044,40.719
528044,41.231
594044,41.499
660044,41.453
726044,41.34
792044,41.376
858044,42.196
924044,41.468
990044,41.706
1056044,42.139
1122044,41.716
1188044,41.658
1254044,41.766
1320044,41.704
1386044,41.561
1452044,41.087
1518044,42.082
1584044,41.941
1650044,41.501
1716044,42.614
1782044,42.249
1848044,42.187
1914044,41.559
1980044,42.456
2046044,42.652
2112044,42.476
2178044,42.665
2244044,42.307
2310044,42.604
2376044,42.267
2442044,42.259
2508044,42.508
2574044,42.266
2640044,41.82
2706044,42.506
2772044,43.172
2838044,42.63
2904044,42.543
2970044,42.502
3036044,42.322
3102044,43.013
3168044,41.971
3234044,42.621
3300044,42.317
3366044,42.353
3432044,42.391
3498044,42.472
3564044,42.59
3630044,42.923
3696044,43.405
3762044,43.579
3828044,43.047
3894044,42.458
3960044,43.355
4026044,43.017
4092044,42.417
4158044,42.471
4224044,42.721
4290044,42.585
4356044,42.617
4422044,43.397
4488044,42.799
4554044,42.997
4620044,42.454
4686044,43.771
4752044,43.967
4818044,42.739
4884044,42.866
4950044,42.787
5016044,43.602
5082044,42.799
5148044,43.073
5214044,42.838
5280044,42.89
5346044,42.244
5412044,43.453
5478044,42.528
5544044,42.509
5610044,43.173
5676044,43.41
5742044,42.273
5808044,42.826
5874044,42.825
5940044,43.01
6006044,43.219
6072044,42.887
6138044,43.525
6204044,43.325
6270044,43.179
6336044,43.021
6402044,42.784
6468044,43.552
6534044,43.76
