timestep,reward
44,41.236
66044,40.878
132044,41.017
198044,40.292
264044,40.707
330044,41.202
396044,40.584
462044,40.522
528044,40.872
594044,41.079
660044,41.324
726044,40.661
792044,40.352
858044,41.382
924044,41.135
990044,41.402
1056044,41.487
1122044,41.56
1188044,41.386
1254044,41.032
1320044,41.127
1386044,41.028
1452044,40.416
1518044,41.541
1584044,40.99
1650044,41.077
1716044,41.626
1782044,41.334
1848044,41.332
1914044,41.289
1980044,41.651
2046044,42.461
2112044,41.434
2178044,42.052
2244044,41.545
2310044,41.667
2376044,41.49
2442044,41.685
2508044,41.28
2574044,41.412
2640044,41.133
2706044,41.433
2772044,42.506
2838044,41.788
2904044,41.799
2970044,41.757
3036044,41.689
3102044,42.374
3168044,41.367
3234044,41.685
3300044,41.614
3366044,41.489
3432044,41.489
3498044,41.124
3564044,41.473
3630044,41.61
3696044,42.049
3762044,41.749
3828044,42.098
3894044,41.795
3960044,42.176
4026044,41.795
4092044,41.167
4158044,41.555
4224044,41.425
4290044,42.076
4356044,41.981
4422044,42.17
4488044,41.262
4554044,41.863
4620044,41.549
4686044,42.714
4752044,42.322
4818044,41.827
4884044,41.477
4950044,41.625
5016044,41.86
5082044,41.613
5148044,42.322
5214044,41.946
5280044,41.617
5346044,40.858
5412044,42.026
5478044,41.823
5544044,40.996
5610044,41.728
5676044,41.957
5742044,41.422
5808044,41.904
5874044,41.411
5940044,41.521
6006044,41.753
6072044,42.063
6138044,42.015
6204044,41.701
6270044,42.042
6336044,41.233
6402044,41.577
6468044,42.224
6534044,42.313
