timestep,reward
44,0.545
66044,0.516
132044,0.535
198044,0.494
264044,0.517
330044,0.531
396044,0.505
462044,0.512
528044,0.535
594044,0.53
660044,0.528
726044,0.555
792044,0.53
858044,0.557
924044,0.541
990044,0.55
1056044,0.555
1122044,0.545
1188044,0.544
1254044,0.538
1320044,0.526
1386044,0.541
1452044,0.517
1518044,0.558
1584044,0.534
1650044,0.522
1716044,0.542
1782044,0.537
1848044,0.524
1914044,0.509
1980044,0.548
2046044,0.569
2112044,0.52
2178044,0.553
2244044,0.515
2310044,0.535
2376044,0.548
2442044,0.551
2508044,0.539
2574044,0.521
2640044,0.563
2706044,0.535
2772044,0.578
2838044,0.54
2904044,0.54
2970044,0.557
3036044,0.529
3102044,0.552
3168044,0.531
3234044,0.538
3300044,0.524
3366044,0.525
3432044,0.556
3498044,0.544
3564044,0.501
3630044,0.54
3696044,0.561
3762044,0.555
3828044,0.536
3894044,0.535
3960044,0.586
4026044,0.552
4092044,0.502
4158044,0.534
4224044,0.54
4290044,0.543
4356044,0.542
4422044,0.546
4488044,0.534
4554044,0.557
4620044,0.548
4686044,0.545
4752044,0.558
4818044,0.516
4884044,0.525
4950044,0.536
5016044,0.556
5082044,0.508
5148044,0.565
5214044,0.525
5280044,0.538
5346044,0.517
5412044,0.528
5478044,0.556
5544044,0.504
5610044,0.564
5676044,0.557
5742044,0.532
5808044,0.556
5874044,0.524
5940044,0.537
6006044,0.517
6072044,0.548
6138044,0.542
6204044,0.527
6270044,0.547
6336044,0.523
6402044,0.529
6468044,0.531
6534044,0.535
