timestep,reward
44,41.236
66044,40.997
132044,40.674
198044,40.625
264044,40.283
330044,41.191
396044,40.901
462044,40.511
528044,41.08
594044,40.926
660044,40.674
726044,40.641
792044,40.833
858044,41.753
924044,41.118
990044,40.989
1056044,41.473
1122044,41.558
1188044,41.366
1254044,41.159
1320044,40.826
1386044,40.823
1452044,40.248
1518044,41.243
1584044,40.932
1650044,40.962
1716044,41.925
1782044,41.965
1848044,41.147
1914044,40.711
1980044,41.206
2046044,41.561
2112044,41.334
2178044,41.878
2244044,41.683
2310044,41.39
2376044,41.349
2442044,41.277
2508044,41.327
2574044,41.211
2640044,41.47
2706044,41.589
2772044,41.636
2838044,41.516
2904044,41.445
2970044,41.686
3036044,41.502
3102044,42.353
3168044,41.545
3234044,41.764
3300044,41.318
3366044,41.295
3432044,41.294
3498044,41.512
3564044,41.079
3630044,41.634
3696044,41.809
3762044,42.19
3828044,41.699
3894044,41.6
3960044,42.025
4026044,41.645
4092044,41.303
4158044,41.533
4224044,41.496
4290044,41.618
4356044,41.845
4422044,41.556
4488044,41.386
4554044,41.971
4620044,41.463
4686044,42.535
4752044,42.433
4818044,41.66
4884044,41.412
4950044,41.46
5016044,41.837
5082044,41.913
5148044,42.377
5214044,41.257
5280044,41.314
5346044,41.037
5412044,42.208
5478044,41.43
5544044,41.686
5610044,42.048
5676044,42.082
5742044,41.412
5808044,41.545
5874044,41.844
5940044,42.009
6006044,41.399
6072044,42.073
6138044,41.658
6204044,42.174
6270044,41.895
6336044,41.423
6402044,41.651
6468044,41.911
6534044,42.272
