timestep,reward
44,0.522
66044,0.521
132044,0.528
198044,0.504
264044,0.515
330044,0.539
396044,0.503
462044,0.512
528044,0.504
594044,0.522
660044,0.543
726044,0.503
792044,0.527
858044,0.54
924044,0.559
990044,0.536
1056044,0.521
1122044,0.526
1188044,0.539
1254044,0.516
1320044,0.516
1386044,0.534
1452044,0.504
1518044,0.551
1584044,0.524
1650044,0.489
1716044,0.544
1782044,0.542
1848044,0.528
1914044,0.512
1980044,0.538
2046044,0.551
2112044,0.554
2178044,0.556
2244044,0.528
2310044,0.523
2376044,0.52
2442044,0.537
2508044,0.552
2574044,0.539
2640044,0.534
2706044,0.543
2772044,0.55
2838044,0.538
2904044,0.552
2970044,0.53
3036044,0.527
3102044,0.571
3168044,0.515
3234044,0.542
3300044,0.519
3366044,0.521
3432044,0.529
3498044,0.518
3564044,0.531
3630044,0.543
3696044,0.547
3762044,0.527
3828044,0.538
3894044,0.535
3960044,0.571
4026044,0.533
4092044,0.519
4158044,0.523
4224044,0.526
4290044,0.512
4356044,0.535
4422044,0.533
4488044,0.536
4554044,0.52
4620044,0.535
4686044,0.553
4752044,0.574
4818044,0.528
4884044,0.538
4950044,0.52
5016044,0.546
5082044,0.534
5148044,0.552
5214044,0.534
5280044,0.56
5346044,0.529
5412044,0.532
5478044,0.526
5544044,0.545
5610044,0.548
5676044,0.564
5742044,0.512
5808044,0.56
5874044,0.532
5940044,0.541
6006044,0.515
6072044,0.522
6138044,0.526
6204044,0.542
6270044,0.547
6336044,0.55
6402044,0.514
6468044,0.533
6534044,0.542
