timestep,reward
44,0.528
66044,0.523
132044,0.541
198044,0.523
264044,0.526
330044,0.53
396044,0.523
462044,0.499
528044,0.512
594044,0.525
660044,0.514
726044,0.523
792044,0.534
858044,0.531
924044,0.55
990044,0.538
1056044,0.552
1122044,0.521
1188044,0.549
1254044,0.516
1320044,0.523
1386044,0.534
1452044,0.493
1518044,0.536
1584044,0.548
1650044,0.512
1716044,0.546
1782044,0.539
1848044,0.532
1914044,0.516
1980044,0.544
2046044,0.549
2112044,0.548
2178044,0.561
2244044,0.526
2310044,0.533
2376044,0.525
2442044,0.534
2508044,0.528
2574044,0.537
2640044,0.529
2706044,0.548
2772044,0.547
2838044,0.526
2904044,0.564
2970044,0.553
3036044,0.545
3102044,0.564
3168044,0.52
3234044,0.53
3300044,0.541
3366044,0.542
3432044,0.553
3498044,0.516
3564044,0.532
3630044,0.553
3696044,0.539
3762044,0.545
3828044,0.564
3894044,0.532
3960044,0.57
4026044,0.553
4092044,0.547
4158044,0.533
4224044,0.561
4290044,0.557
4356044,0.53
4422044,0.554
4488044,0.546
4554044,0.547
4620044,0.554
4686044,0.565
4752044,0.589
4818044,0.56
4884044,0.549
4950044,0.54
5016044,0.564
5082044,0.549
5148044,0.587
5214044,0.544
5280044,0.569
5346044,0.529
5412044,0.541
5478044,0.53
5544044,0.538
5610044,0.557
5676044,0.548
5742044,0.539
5808044,0.537
5874044,0.546
5940044,0.559
6006044,0.57
6072044,0.544
6138044,0.562
6204044,0.549
6270044,0.567
6336044,0.531
6402044,0.536
6468044,0.55
6534044,0.584
