timestep,reward
44,0.52
66044,0.51
132044,0.542
198044,0.5
264044,0.514
330044,0.553
396044,0.505
462044,0.531
528044,0.538
594044,0.537
660044,0.529
726044,0.522
792044,0.534
858044,0.524
924044,0.557
990044,0.547
1056044,0.539
1122044,0.529
1188044,0.547
1254044,0.531
1320044,0.517
1386044,0.537
1452044,0.505
1518044,0.558
1584044,0.533
1650044,0.527
1716044,0.527
1782044,0.547
1848044,0.537
1914044,0.506
1980044,0.544
2046044,0.566
2112044,0.539
2178044,0.541
2244044,0.529
2310044,0.554
2376044,0.542
2442044,0.538
2508044,0.553
2574044,0.525
2640044,0.537
2706044,0.537
2772044,0.555
2838044,0.523
2904044,0.546
2970044,0.534
3036044,0.535
3102044,0.582
3168044,0.492
3234044,0.538
3300044,0.503
3366044,0.528
3432044,0.508
3498044,0.546
3564044,0.543
3630044,0.525
3696044,0.556
3762044,0.533
3828044,0.538
3894044,0.555
3960044,0.535
4026044,0.535
4092044,0.513
4158044,0.549
4224044,0.55
4290044,0.523
4356044,0.541
4422044,0.552
4488044,0.533
4554044,0.524
4620044,0.522
4686044,0.557
4752044,0.581
4818044,0.536
4884044,0.528
4950044,0.52
5016044,0.56
5082044,0.529
5148044,0.574
5214044,0.523
5280044,0.552
5346044,0.518
5412044,0.547
5478044,0.54
5544044,0.523
5610044,0.546
5676044,0.58
5742044,0.514
5808044,0.549
5874044,0.527
5940044,0.534
6006044,0.533
6072044,0.547
6138044,0.539
6204044,0.535
6270044,0.551
6336044,0.534
6402044,0.537
6468044,0.544
6534044,0.536
