timestep,reward
44,0.537
66044,0.531
132044,0.5
198044,0.506
264044,0.498
330044,0.522
396044,0.515
462044,0.514
528044,0.521
594044,0.521
660044,0.517
726044,0.529
792044,0.523
858044,0.518
924044,0.525
990044,0.55
1056044,0.543
1122044,0.525
1188044,0.534
1254044,0.529
1320044,0.529
1386044,0.514
1452044,0.517
1518044,0.555
1584044,0.544
1650044,0.527
1716044,0.542
1782044,0.552
1848044,0.544
1914044,0.518
1980044,0.533
2046044,0.569
2112044,0.534
2178044,0.542
2244044,0.516
2310044,0.535
2376044,0.532
2442044,0.542
2508044,0.519
2574044,0.53
2640044,0.531
2706044,0.553
2772044,0.563
2838044,0.537
2904044,0.529
2970044,0.543
3036044,0.525
3102044,0.561
3168044,0.533
3234044,0.539
3300044,0.537
3366044,0.549
3432044,0.53
3498044,0.526
3564044,0.538
3630044,0.538
3696044,0.544
3762044,0.553
3828044,0.539
3894044,0.55
3960044,0.54
4026044,0.543
4092044,0.515
4158044,0.541
4224044,0.528
4290044,0.534
4356044,0.549
4422044,0.558
4488044,0.521
4554044,0.555
4620044,0.511
4686044,0.559
4752044,0.56
4818044,0.552
4884044,0.521
4950044,0.53
5016044,0.555
5082044,0.551
5148044,0.551
5214044,0.531
5280044,0.557
5346044,0.525
5412044,0.536
5478044,0.503
5544044,0.521
5610044,0.558
5676044,0.556
5742044,0.507
5808044,0.54
5874044,0.539
5940044,0.532
6006044,0.539
6072044,0.544
6138044,0.548
6204044,0.562
6270044,0.548
6336044,0.535
6402044,0.526
6468044,0.535
6534044,0.542
