timestep,reward
44,0.526
66044,0.541
132044,0.519
198044,0.503
264044,0.497
330044,0.531
396044,0.533
462044,0.525
528044,0.528
594044,0.522
660044,0.521
726044,0.505
792044,0.498
858044,0.54
924044,0.55
990044,0.544
1056044,0.528
1122044,0.53
1188044,0.516
1254044,0.52
1320044,0.504
1386044,0.527
1452044,0.498
1518044,0.548
1584044,0.531
1650044,0.522
1716044,0.535
1782044,0.54
1848044,0.531
1914044,0.532
1980044,0.543
2046044,0.535
2112044,0.529
2178044,0.534
2244044,0.504
2310044,0.535
2376044,0.52
2442044,0.535
2508044,0.54
2574044,0.522
2640044,0.53
2706044,0.546
2772044,0.56
2838044,0.543
2904044,0.534
2970044,0.535
3036044,0.536
3102044,0.557
3168044,0.521
3234044,0.536
3300044,0.534
3366044,0.549
3432044,0.505
3498044,0.526
3564044,0.523
3630044,0.533
3696044,0.548
3762044,0.535
3828044,0.537
3894044,0.551
3960044,0.557
4026044,0.538
4092044,0.511
4158044,0.526
4224044,0.526
4290044,0.539
4356044,0.546
4422044,0.539
4488044,0.535
4554044,0.533
4620044,0.542
4686044,0.555
4752044,0.553
4818044,0.547
4884044,0.515
4950044,0.522
5016044,0.522
5082044,0.535
5148044,0.557
5214044,0.517
5280044,0.531
5346044,0.51
5412044,0.544
5478044,0.509
5544044,0.527
5610044,0.556
5676044,0.57
5742044,0.536
5808044,0.56
5874044,0.517
5940044,0.544
6006044,0.529
6072044,0.536
6138044,0.557
6204044,0.54
6270044,0.544
6336044,0.526
6402044,0.538
6468044,0.54
6534044,0.53
