timestep,reward
44,0.528
66044,0.518
132044,0.538
198044,0.512
264044,0.528
330044,0.546
396044,0.513
462044,0.512
528044,0.544
594044,0.513
660044,0.517
726044,0.52
792044,0.546
858044,0.527
924044,0.538
990044,0.549
1056044,0.544
1122044,0.529
1188044,0.557
1254044,0.537
1320044,0.516
1386044,0.539
1452044,0.501
1518044,0.547
1584044,0.517
1650044,0.52
1716044,0.546
1782044,0.542
1848044,0.537
1914044,0.507
1980044,0.537
2046044,0.535
2112044,0.546
2178044,0.546
2244044,0.525
2310044,0.54
2376044,0.525
2442044,0.555
2508044,0.532
2574044,0.521
2640044,0.543
2706044,0.525
2772044,0.546
2838044,0.535
2904044,0.53
2970044,0.542
3036044,0.537
3102044,0.543
3168044,0.549
3234044,0.558
3300044,0.555
3366044,0.512
3432044,0.535
3498044,0.534
3564044,0.535
3630044,0.52
3696044,0.545
3762044,0.559
3828044,0.555
3894044,0.521
3960044,0.549
4026044,0.542
4092044,0.509
4158044,0.539
4224044,0.514
4290044,0.537
4356044,0.531
4422044,0.552
4488044,0.523
4554044,0.527
4620044,0.525
4686044,0.545
4752044,0.553
4818044,0.539
4884044,0.536
4950044,0.51
5016044,0.539
5082044,0.529
5148044,0.553
5214044,0.522
5280044,0.536
5346044,0.508
5412044,0.535
5478044,0.521
5544044,0.532
5610044,0.567
5676044,0.562
5742044,0.51
5808044,0.53
5874044,0.516
5940044,0.533
6006044,0.517
6072044,0.526
6138044,0.547
6204044,0.543
6270044,0.524
6336044,0.532
6402044,0.533
6468044,0.526
6534044,0.539
