timestep,reward
44,0.535
66044,0.517
132044,0.522
198044,0.508
264044,0.53
330044,0.545
396044,0.524
462044,0.524
528044,0.522
594044,0.536
660044,0.525
726044,0.523
792044,0.527
858044,0.542
924044,0.543
990044,0.554
1056044,0.553
1122044,0.539
1188044,0.544
1254044,0.552
1320044,0.52
1386044,0.552
1452044,0.506
1518044,0.533
1584044,0.514
1650044,0.512
1716044,0.543
1782044,0.548
1848044,0.547
1914044,0.513
1980044,0.549
2046044,0.59
2112044,0.525
2178044,0.537
2244044,0.518
2310044,0.517
2376044,0.537
2442044,0.551
2508044,0.533
2574044,0.532
2640044,0.528
2706044,0.539
2772044,0.58
2838044,0.519
2904044,0.541
2970044,0.526
3036044,0.534
3102044,0.566
3168044,0.526
3234044,0.544
3300044,0.544
3366044,0.546
3432044,0.533
3498044,0.497
3564044,0.546
3630044,0.539
3696044,0.575
3762044,0.527
3828044,0.547
3894044,0.53
3960044,0.547
4026044,0.541
4092044,0.515
4158044,0.553
4224044,0.527
4290044,0.521
4356044,0.526
4422044,0.529
4488044,0.523
4554044,0.525
4620044,0.538
4686044,0.561
4752044,0.575
4818044,0.523
4884044,0.553
4950044,0.521
5016044,0.525
5082044,0.521
5148044,0.558
5214044,0.512
5280044,0.54
5346044,0.534
5412044,0.542
5478044,0.523
5544044,0.508
5610044,0.534
5676044,0.556
5742044,0.532
5808044,0.546
5874044,0.534
5940044,0.561
6006044,0.536
6072044,0.54
6138044,0.54
6204044,0.539
6270044,0.552
6336044,0.544
6402044,0.535
6468044,0.566
6534044,0.541
