timestep,reward
44,40.834
66044,41.208
132044,41.301
198044,40.582
264044,40.123
330044,41.263
396044,40.742
462044,40.549
528044,41.21
594044,41.108
660044,41.161
726044,41.154
792044,40.994
858044,41.52
924044,41.185
990044,41.864
1056044,41.694
1122044,41.232
1188044,41.447
1254044,40.789
1320044,40.898
1386044,40.661
1452044,40.341
1518044,41.768
1584044,40.778
1650044,41.106
1716044,41.806
1782044,41.317
1848044,40.539
1914044,40.709
1980044,41.574
2046044,41.738
2112044,41.231
2178044,41.835
2244044,41.702
2310044,41.557
2376044,41.413
2442044,41.764
2508044,41.503
2574044,41.251
2640044,41.083
2706044,41.254
2772044,42.18
2838044,41.797
2904044,41.638
2970044,41.475
3036044,41.367
3102044,42.055
3168044,41.264
3234044,41.557
3300044,41.477
3366044,41.326
3432044,41.456
3498044,41.088
3564044,41.125
3630044,41.956
3696044,41.725
3762044,41.644
3828044,41.966
3894044,41.957
3960044,42.007
4026044,41.832
4092044,40.918
4158044,41.755
4224044,41.268
4290044,41.954
4356044,41.582
4422044,42.024
4488044,41.264
4554044,42.294
4620044,41.579
4686044,42.508
4752044,42.135
4818044,41.908
4884044,41.356
4950044,41.304
5016044,41.641
5082044,41.174
5148044,41.981
5214044,41.418
5280044,41.84
5346044,41.143
5412044,41.745
5478044,41.63
5544044,41.344
5610044,42.063
5676044,42.216
5742044,41.129
5808044,41.908
5874044,41.609
5940044,41.588
6006044,41.645
6072044,41.654
6138044,42.019
6204044,41.915
6270044,41.602
6336044,41.52
6402044,41.346
6468044,41.826
6534044,42.113
