timestep,reward
44,41.014
66044,40.582
132044,40.878
198044,40.206
264044,40.636
330044,41.141
396044,40.711
462044,40.663
528044,41.152
594044,41.017
660044,40.942
726044,41.023
792044,40.545
858044,41.241
924044,41.047
990044,41.229
1056044,41.465
1122044,40.911
1188044,41.805
1254044,41.236
1320044,41.067
1386044,40.975
1452044,40.439
1518044,41.414
1584044,40.972
1650044,40.918
1716044,41.285
1782044,41.502
1848044,41.132
1914044,41.082
1980044,41.246
2046044,42.167
2112044,41.256
2178044,41.588
2244044,41.61
2310044,41.369
2376044,41.804
2442044,41.612
2508044,41.518
2574044,41.365
2640044,41.39
2706044,41.582
2772044,42.13
2838044,41.634
2904044,41.849
2970044,41.547
3036044,41.521
3102044,42.507
3168044,41.635
3234044,41.951
3300044,41.579
3366044,41.585
3432044,41.323
3498044,41.187
3564044,41.114
3630044,41.665
3696044,42.048
3762044,42.142
3828044,41.737
3894044,41.972
3960044,41.916
4026044,41.57
4092044,41.048
4158044,41.867
4224044,41.49
4290044,41.713
4356044,41.548
4422044,41.987
4488044,41.51
4554044,41.864
4620044,41.297
4686044,42.652
4752044,42.161
4818044,41.66
4884044,41.696
4950044,41.317
5016044,42.246
5082044,41.751
5148044,42.067
5214044,41.631
5280044,41.427
5346044,41.533
5412044,41.938
5478044,41.984
5544044,41.346
5610044,42.245
5676044,41.936
5742044,41.638
5808044,41.794
5874044,42.037
5940044,41.731
6006044,41.758
6072044,42.102
6138044,42.34
6204044,42.1
6270044,41.702
6336044,41.883
6402044,41.875
6468044,42.064
6534044,42.379
