timestep,reward
44,0.526
66044,0.514
132044,0.526
198044,0.51
264044,0.5
330044,0.536
396044,0.529
462044,0.512
528044,0.505
594044,0.523
660044,0.52
726044,0.524
792044,0.531
858044,0.56
924044,0.551
990044,0.549
1056044,0.551
1122044,0.535
1188044,0.567
1254044,0.519
1320044,0.526
1386044,0.511
1452044,0.506
1518044,0.536
1584044,0.54
1650044,0.503
1716044,0.55
1782044,0.543
1848044,0.526
1914044,0.547
1980044,0.555
2046044,0.553
2112044,0.561
2178044,0.54
2244044,0.526
2310044,0.538
2376044,0.545
2442044,0.551
2508044,0.516
2574044,0.529
2640044,0.544
2706044,0.529
2772044,0.557
2838044,0.515
2904044,0.551
2970044,0.545
3036044,0.53
3102044,0.565
3168044,0.544
3234044,0.531
3300044,0.564
3366044,0.551
3432044,0.53
3498044,0.542
3564044,0.536
3630044,0.539
3696044,0.548
3762044,0.54
3828044,0.57
3894044,0.538
3960044,0.575
4026044,0.536
4092044,0.518
4158044,0.541
4224044,0.54
4290044,0.529
4356044,0.545
4422044,0.529
4488044,0.528
4554044,0.534
4620044,0.514
4686044,0.564
4752044,0.595
4818044,0.528
4884044,0.532
4950044,0.547
5016044,0.548
5082044,0.531
5148044,0.549
5214044,0.545
5280044,0.547
5346044,0.54
5412044,0.559
5478044,0.524
5544044,0.516
5610044,0.56
5676044,0.582
5742044,0.54
5808044,0.556
5874044,0.521
5940044,0.549
6006044,0.551
6072044,0.527
6138044,0.531
6204044,0.551
6270044,0.557
6336044,0.543
6402044,0.521
6468044,0.518
6534044,0.536
