timestep,reward
44,40.895
66044,40.863
132044,41.278
198044,40.549
264044,40.297
330044,41.278
396044,40.965
462044,40.357
528044,41.07
594044,41.539
660044,41.302
726044,40.857
792044,41.029
858044,41.273
924044,41.261
990044,41.512
1056044,41.293
1122044,41.516
1188044,41.045
1254044,40.925
1320044,41.067
1386044,40.849
1452044,40.037
1518044,41.301
1584044,41.149
1650044,40.77
1716044,41.463
1782044,41.62
1848044,41.209
1914044,40.74
1980044,41.809
2046044,41.911
2112044,41.069
2178044,41.903
2244044,41.288
2310044,41.434
2376044,41.517
2442044,41.611
2508044,41.112
2574044,41.344
2640044,41.572
2706044,41.446
2772044,42.25
2838044,41.691
2904044,41.8
2970044,41.954
3036044,41.456
3102044,42.218
3168044,41.225
3234044,41.398
3300044,41.477
3366044,41.338
3432044,41.326
3498044,41.294
3564044,41.205
3630044,42.067
3696044,41.878
3762044,42.052
3828044,41.746
3894044,41.296
3960044,42.08
4026044,41.587
4092044,40.865
4158044,41.403
4224044,41.142
4290044,41.834
4356044,41.532
4422044,41.784
4488044,41.381
4554044,42.195
4620044,41.358
4686044,42.57
4752044,42.483
4818044,42.036
4884044,41.359
4950044,41.268
5016044,42.139
5082044,41.669
5148044,42.258
5214044,41.492
5280044,41.298
5346044,41.021
5412044,42.102
5478044,41.866
5544044,41.337
5610044,42.213
5676044,42.107
5742044,41.595
5808044,41.848
5874044,41.602
5940044,41.85
6006044,41.927
6072044,41.724
6138044,42.027
6204044,41.708
6270044,42.003
6336044,41.486
6402044,41.756
6468044,41.853
6534044,42.167
