timestep,reward
44,0.537
66044,0.523
132044,0.508
198044,0.511
264044,0.493
330044,0.533
396044,0.496
462044,0.514
528044,0.507
594044,0.532
660044,0.523
726044,0.515
792044,0.514
858044,0.525
924044,0.557
990044,0.518
1056044,0.529
1122044,0.535
1188044,0.536
1254044,0.526
1320044,0.517
1386044,0.522
1452044,0.482
1518044,0.527
1584044,0.508
1650044,0.505
1716044,0.558
1782044,0.546
1848044,0.514
1914044,0.523
1980044,0.563
2046044,0.533
2112044,0.529
2178044,0.546
2244044,0.516
2310044,0.539
2376044,0.549
2442044,0.562
2508044,0.526
2574044,0.542
2640044,0.543
2706044,0.547
2772044,0.57
2838044,0.539
2904044,0.537
2970044,0.541
3036044,0.565
3102044,0.558
3168044,0.53
3234044,0.55
3300044,0.547
3366044,0.55
3432044,0.535
3498044,0.546
3564044,0.535
3630044,0.552
3696044,0.556
3762044,0.544
3828044,0.532
3894044,0.523
3960044,0.55
4026044,0.569
4092044,0.515
4158044,0.547
4224044,0.528
4290044,0.538
4356044,0.545
4422044,0.545
4488044,0.541
4554044,0.56
4620044,0.53
4686044,0.562
4752044,0.566
4818044,0.539
4884044,0.528
4950044,0.525
5016044,0.552
5082044,0.519
5148044,0.538
5214044,0.55
5280044,0.551
5346044,0.54
5412044,0.522
5478044,0.529
5544044,0.535
5610044,0.552
5676044,0.569
5742044,0.516
5808044,0.541
5874044,0.549
5940044,0.538
6006044,0.528
6072044,0.554
6138044,0.549
6204044,0.555
6270044,0.553
6336044,0.513
6402044,0.52
6468044,0.552
6534044,0.557
