timestep,reward
44,0.545
66044,0.534
132044,0.535
198044,0.51
264044,0.497
330044,0.534
396044,0.514
462044,0.519
528044,0.507
594044,0.55
660044,0.535
726044,0.524
792044,0.519
858044,0.517
924044,0.569
990044,0.546
1056044,0.541
1122044,0.53
1188044,0.546
1254044,0.536
1320044,0.527
1386044,0.527
1452044,0.525
1518044,0.546
1584044,0.532
1650044,0.51
1716044,0.556
1782044,0.56
1848044,0.5
1914044,0.521
1980044,0.551
2046044,0.547
2112044,0.56
2178044,0.557
2244044,0.528
2310044,0.543
2376044,0.536
2442044,0.563
2508044,0.526
2574044,0.531
2640044,0.559
2706044,0.535
2772044,0.557
2838044,0.538
2904044,0.569
2970044,0.55
3036044,0.541
3102044,0.557
3168044,0.538
3234044,0.536
3300044,0.532
3366044,0.547
3432044,0.516
3498044,0.529
3564044,0.539
3630044,0.581
3696044,0.562
3762044,0.551
3828044,0.547
3894044,0.527
3960044,0.557
4026044,0.559
4092044,0.509
4158044,0.55
4224044,0.518
4290044,0.549
4356044,0.522
4422044,0.547
4488044,0.54
4554044,0.542
4620044,0.537
4686044,0.578
4752044,0.568
4818044,0.523
4884044,0.517
4950044,0.523
5016044,0.546
5082044,0.542
5148044,0.568
5214044,0.527
5280044,0.546
5346044,0.531
5412044,0.538
5478044,0.539
5544044,0.529
5610044,0.563
5676044,0.562
5742044,0.533
5808044,0.53
5874044,0.519
5940044,0.538
6006044,0.534
6072044,0.544
6138044,0.524
6204044,0.558
6270044,0.54
6336044,0.541
6402044,0.543
6468044,0.533
6534044,0.555
