timestep,reward
44,0.535
66044,0.526
132044,0.547
198044,0.517
264044,0.521
330044,0.537
396044,0.531
462044,0.506
528044,0.538
594044,0.545
660044,0.53
726044,0.521
792044,0.513
858044,0.526
924044,0.552
990044,0.539
1056044,0.523
1122044,0.511
1188044,0.52
1254044,0.514
1320044,0.525
1386044,0.518
1452044,0.514
1518044,0.554
1584044,0.545
1650044,0.517
1716044,0.545
1782044,0.538
1848044,0.526
1914044,0.537
1980044,0.559
2046044,0.559
2112044,0.541
2178044,0.548
2244044,0.537
2310044,0.539
2376044,0.545
2442044,0.56
2508044,0.543
2574044,0.508
2640044,0.542
2706044,0.532
2772044,0.553
2838044,0.534
2904044,0.554
2970044,0.551
3036044,0.539
3102044,0.55
3168044,0.515
3234044,0.544
3300044,0.523
3366044,0.555
3432044,0.547
3498044,0.525
3564044,0.527
3630044,0.551
3696044,0.555
3762044,0.541
3828044,0.551
3894044,0.531
3960044,0.564
4026044,0.544
4092044,0.512
4158044,0.539
4224044,0.529
4290044,0.538
4356044,0.543
4422044,0.547
4488044,0.541
4554044,0.574
4620044,0.516
4686044,0.583
4752044,0.562
4818044,0.549
4884044,0.535
4950044,0.532
5016044,0.539
5082044,0.543
5148044,0.544
5214044,0.522
5280044,0.543
5346044,0.546
5412044,0.567
5478044,0.525
5544044,0.522
5610044,0.558
5676044,0.547
5742044,0.555
5808044,0.53
5874044,0.536
5940044,0.534
6006044,0.529
6072044,0.517
6138044,0.573
6204044,0.561
6270044,0.531
6336044,0.521
6402044,0.522
6468044,0.549
6534044,0.535
