timestep,reward
44,0.535
66044,0.541
132044,0.537
198044,0.489
264044,0.513
330044,0.538
396044,0.533
462044,0.507
528044,0.53
594044,0.558
660044,0.553
726044,0.544
792044,0.54
858044,0.557
924044,0.537
990044,0.569
1056044,0.551
1122044,0.532
1188044,0.545
1254044,0.54
1320044,0.529
1386044,0.55
1452044,0.518
1518044,0.523
1584044,0.527
1650044,0.518
1716044,0.561
1782044,0.537
1848044,0.53
1914044,0.522
1980044,0.561
2046044,0.563
2112044,0.539
2178044,0.54
2244044,0.516
2310044,0.523
2376044,0.54
2442044,0.522
2508044,0.526
2574044,0.532
2640044,0.539
2706044,0.542
2772044,0.584
2838044,0.543
2904044,0.541
2970044,0.539
3036044,0.537
3102044,0.565
3168044,0.546
3234044,0.539
3300044,0.527
3366044,0.534
3432044,0.527
3498044,0.525
3564044,0.543
3630044,0.556
3696044,0.543
3762044,0.547
3828044,0.538
3894044,0.564
3960044,0.557
4026044,0.55
4092044,0.533
4158044,0.553
4224044,0.531
4290044,0.532
4356044,0.545
4422044,0.535
4488044,0.535
4554044,0.553
4620044,0.538
4686044,0.568
4752044,0.564
4818044,0.555
4884044,0.56
4950044,0.528
5016044,0.568
5082044,0.525
5148044,0.552
5214044,0.537
5280044,0.524
5346044,0.524
5412044,0.54
5478044,0.534
5544044,0.516
5610044,0.56
5676044,0.548
5742044,0.538
5808044,0.552
5874044,0.546
5940044,0.542
6006044,0.537
6072044,0.539
6138044,0.527
6204044,0.542
6270044,0.547
6336044,0.531
6402044,0.532
6468044,0.545
6534044,0.535
