timestep,reward
44,41.014
66044,40.568
132044,40.97
198044,40.475
264044,40.174
330044,40.929
396044,41.363
462044,40.771
528044,40.919
594044,41.255
660044,41.145
726044,41.247
792044,40.825
858044,41.407
924044,41.164
990044,41.282
1056044,41.674
1122044,41.443
1188044,41.572
1254044,41.603
1320044,40.958
1386044,41.306
1452044,40.507
1518044,41.734
1584044,41.457
1650044,41.025
1716044,41.918
1782044,41.703
1848044,41.463
1914044,41.259
1980044,41.601
2046044,42.546
2112044,41.792
2178044,42.216
2244044,42.097
2310044,42.161
2376044,41.869
2442044,41.763
2508044,41.994
2574044,41.411
2640044,42.083
2706044,42.072
2772044,42.688
2838044,42.202
2904044,42.197
2970044,42.316
3036044,42.147
3102044,42.638
3168044,42.069
3234044,42.154
3300044,42.024
3366044,41.818
3432044,41.752
3498044,41.873
3564044,41.802
3630044,42.352
3696044,42.54
3762044,42.605
3828044,42.082
3894044,42.14
3960044,42.515
4026044,42.597
4092044,41.693
4158044,42.24
4224044,42.203
4290044,42.383
4356044,42.404
4422044,42.318
4488044,42.194
4554044,42.844
4620044,42.128
4686044,43.208
4752044,43.206
4818044,42.491
4884044,42.373
4950044,42.284
5016044,42.843
5082044,42.093
5148044,42.499
5214044,42.107
5280044,42.611
5346044,41.299
5412044,42.56
5478044,42.551
5544044,41.849
5610044,42.673
5676044,42.979
5742044,42.168
5808044,42.399
5874044,42.422
5940044,42.387
6006044,42.414
6072044,42.512
6138044,42.48
6204044,42.697
6270044,42.699
6336044,42.135
6402044,42.546
6468044,42.538
6534044,43.068
