timestep,reward
44,0.528
66044,0.523
132044,0.542
198044,0.519
264044,0.5
330044,0.565
396044,0.536
462044,0.526
528044,0.522
594044,0.54
660044,0.518
726044,0.516
792044,0.534
858044,0.514
924044,0.538
990044,0.537
1056044,0.536
1122044,0.519
1188044,0.539
1254044,0.559
1320044,0.528
1386044,0.528
1452044,0.522
1518044,0.53
1584044,0.535
1650044,0.522
1716044,0.54
1782044,0.565
1848044,0.555
1914044,0.523
1980044,0.551
2046044,0.569
2112044,0.547
2178044,0.542
2244044,0.553
2310044,0.546
2376044,0.552
2442044,0.554
2508044,0.55
2574044,0.527
2640044,0.542
2706044,0.564
2772044,0.566
2838044,0.547
2904044,0.537
2970044,0.531
3036044,0.548
3102044,0.564
3168044,0.532
3234044,0.561
3300044,0.556
3366044,0.545
3432044,0.532
3498044,0.538
3564044,0.536
3630044,0.542
3696044,0.576
3762044,0.555
3828044,0.541
3894044,0.544
3960044,0.575
4026044,0.562
4092044,0.525
4158044,0.547
4224044,0.552
4290044,0.535
4356044,0.546
4422044,0.553
4488044,0.522
4554044,0.545
4620044,0.542
4686044,0.58
4752044,0.574
4818044,0.542
4884044,0.571
4950044,0.546
5016044,0.574
5082044,0.532
5148044,0.564
5214044,0.556
5280044,0.546
5346044,0.534
5412044,0.556
5478044,0.536
5544044,0.531
5610044,0.551
5676044,0.571
5742044,0.54
5808044,0.573
5874044,0.545
5940044,0.57
6006044,0.547
6072044,0.56
6138044,0.566
6204044,0.543
6270044,0.55
6336044,0.561
6402044,0.556
6468044,0.532
6534044,0.557
