timestep,reward
44,0.528
66044,0.54
132044,0.536
198044,0.517
264044,0.51
330044,0.558
396044,0.521
462044,0.518
528044,0.553
594044,0.532
660044,0.531
726044,0.532
792044,0.537
858044,0.541
924044,0.559
990044,0.56
1056044,0.526
1122044,0.543
1188044,0.533
1254044,0.546
1320044,0.525
1386044,0.555
1452044,0.523
1518044,0.53
1584044,0.543
1650044,0.524
1716044,0.563
1782044,0.552
1848044,0.536
1914044,0.514
1980044,0.562
2046044,0.565
2112044,0.536
2178044,0.554
2244044,0.537
2310044,0.556
2376044,0.566
2442044,0.59
2508044,0.549
2574044,0.525
2640044,0.559
2706044,0.528
2772044,0.547
2838044,0.533
2904044,0.542
2970044,0.54
3036044,0.555
3102044,0.556
3168044,0.524
3234044,0.548
3300044,0.535
3366044,0.534
3432044,0.542
3498044,0.528
3564044,0.527
3630044,0.531
3696044,0.541
3762044,0.538
3828044,0.545
3894044,0.526
3960044,0.554
4026044,0.561
4092044,0.531
4158044,0.538
4224044,0.534
4290044,0.543
4356044,0.546
4422044,0.554
4488044,0.539
4554044,0.549
4620044,0.527
4686044,0.566
4752044,0.565
4818044,0.554
4884044,0.547
4950044,0.535
5016044,0.56
5082044,0.544
5148044,0.567
5214044,0.526
5280044,0.556
5346044,0.521
5412044,0.56
5478044,0.532
5544044,0.534
5610044,0.552
5676044,0.578
5742044,0.552
5808044,0.569
5874044,0.587
5940044,0.567
6006044,0.539
6072044,0.551
6138044,0.547
6204044,0.546
6270044,0.559
6336044,0.562
6402044,0.52
6468044,0.541
6534044,0.55
