timestep,reward
44,41.014
66044,40.866
132044,41.032
198044,40.355
264044,40.452
330044,41.117
396044,40.672
462044,40.681
528044,40.927
594044,41.304
660044,41.177
726044,41.755
792044,41.161
858044,41.403
924044,41.278
990044,41.16
1056044,41.701
1122044,41.23
1188044,41.46
1254044,41.073
1320044,40.929
1386044,41.233
1452044,40.382
1518044,41.371
1584044,41.111
1650044,40.972
1716044,41.869
1782044,41.271
1848044,41.316
1914044,41.088
1980044,41.549
2046044,42.175
2112044,41.554
2178044,41.888
2244044,41.085
2310044,41.532
2376044,41.946
2442044,41.765
2508044,41.743
2574044,41.06
2640044,41.457
2706044,41.432
2772044,42.042
2838044,41.915
2904044,41.82
2970044,41.713
3036044,41.527
3102044,42.182
3168044,41.377
3234044,41.548
3300044,41.584
3366044,41.235
3432044,41.595
3498044,41.341
3564044,41.349
3630044,41.906
3696044,42.012
3762044,42.112
3828044,41.432
3894044,41.679
3960044,42.049
4026044,42.163
4092044,41.171
4158044,41.41
4224044,41.805
4290044,41.981
4356044,41.477
4422044,42.119
4488044,41.602
4554044,42.118
4620044,41.724
4686044,42.431
4752044,42.717
4818044,41.624
4884044,41.565
4950044,41.277
5016044,41.707
5082044,41.541
5148044,42.032
5214044,41.694
5280044,41.76
5346044,40.942
5412044,42.067
5478044,41.846
5544044,41.301
5610044,41.78
5676044,41.991
5742044,41.416
5808044,41.591
5874044,41.46
5940044,41.28
6006044,41.496
6072044,42.273
6138044,42.015
6204044,42.276
6270044,42.229
6336044,41.71
6402044,41.956
6468044,41.72
6534044,42.34
