timestep,reward
44,0.535
66044,0.514
132044,0.537
198044,0.52
264044,0.513
330044,0.538
396044,0.533
462044,0.521
528044,0.545
594044,0.527
660044,0.499
726044,0.519
792044,0.513
858044,0.54
924044,0.522
990044,0.552
1056044,0.542
1122044,0.552
1188044,0.547
1254044,0.543
1320044,0.543
1386044,0.526
1452044,0.498
1518044,0.562
1584044,0.54
1650044,0.527
1716044,0.543
1782044,0.557
1848044,0.546
1914044,0.526
1980044,0.555
2046044,0.56
2112044,0.546
2178044,0.557
2244044,0.537
2310044,0.551
2376044,0.539
2442044,0.562
2508044,0.551
2574044,0.545
2640044,0.535
2706044,0.541
2772044,0.57
2838044,0.56
2904044,0.54
2970044,0.559
3036044,0.549
3102044,0.583
3168044,0.546
3234044,0.567
3300044,0.547
3366044,0.524
3432044,0.54
3498044,0.548
3564044,0.548
3630044,0.557
3696044,0.576
3762044,0.551
3828044,0.564
3894044,0.568
3960044,0.574
4026044,0.556
4092044,0.544
4158044,0.557
4224044,0.544
4290044,0.578
4356044,0.544
4422044,0.551
4488044,0.555
4554044,0.553
4620044,0.53
4686044,0.583
4752044,0.581
4818044,0.569
4884044,0.566
4950044,0.538
5016044,0.558
5082044,0.547
5148044,0.568
5214044,0.545
5280044,0.572
5346044,0.535
5412044,0.554
5478044,0.532
5544044,0.539
5610044,0.563
5676044,0.585
5742044,0.545
5808044,0.55
5874044,0.538
5940044,0.559
6006044,0.556
6072044,0.558
6138044,0.562
6204044,0.552
6270044,0.58
6336044,0.542
6402044,0.528
6468044,0.549
6534044,0.569
