timestep,reward
44,40.672
66044,40.906
132044,40.809
198044,40.619
264044,40.395
330044,40.84
396044,40.881
462044,40.085
528044,41.159
594044,40.881
660044,41.222
726044,40.82
792044,41.121
858044,41.103
924044,40.844
990044,41.119
1056044,41.457
1122044,41.764
1188044,40.653
1254044,40.801
1320044,40.999
1386044,40.999
1452044,40.42
1518044,41.415
1584044,41.061
1650044,40.629
1716044,41.524
1782044,41.297
1848044,40.981
1914044,40.764
1980044,41.417
2046044,41.878
2112044,41.133
2178044,41.803
2244044,40.941
2310044,41.407
2376044,41.81
2442044,41.509
2508044,41.505
2574044,41.209
2640044,41.524
2706044,41.439
2772044,41.719
2838044,41.455
2904044,41.153
2970044,41.232
3036044,41.393
3102044,41.652
3168044,41.261
3234044,41.449
3300044,41.397
3366044,40.904
3432044,40.994
3498044,41.435
3564044,41.448
3630044,41.474
3696044,41.485
3762044,41.505
3828044,41.392
3894044,41.252
3960044,41.429
4026044,41.57
4092044,41.02
4158044,40.994
4224044,40.971
4290044,41.617
4356044,41.34
4422044,41.184
4488044,41.367
4554044,41.532
4620044,40.956
4686044,41.888
4752044,42.37
4818044,41.857
4884044,41.347
4950044,41.509
5016044,41.732
5082044,41.27
5148044,41.789
5214044,41.4
5280044,41.537
5346044,40.822
5412044,41.648
5478044,41.377
5544044,40.893
5610044,42.248
5676044,41.976
5742044,41.269
5808044,41.935
5874044,41.622
5940044,41.454
6006044,41.786
6072044,41.508
6138044,41.981
6204044,41.976
6270044,41.813
6336044,41.501
6402044,41.253
6468044,41.781
6534044,41.872
