timestep,reward
44,0.545
66044,0.53
132044,0.527
198044,0.527
264044,0.533
330044,0.544
396044,0.506
462044,0.507
528044,0.527
594044,0.535
660044,0.526
726044,0.529
792044,0.533
858044,0.56
924044,0.541
990044,0.535
1056044,0.552
1122044,0.545
1188044,0.563
1254044,0.547
1320044,0.538
1386044,0.547
1452044,0.521
1518044,0.539
1584044,0.522
1650044,0.532
1716044,0.557
1782044,0.55
1848044,0.547
1914044,0.519
1980044,0.542
2046044,0.563
2112044,0.545
2178044,0.569
2244044,0.533
2310044,0.548
2376044,0.545
2442044,0.539
2508044,0.534
2574044,0.524
2640044,0.552
2706044,0.557
2772044,0.564
2838044,0.53
2904044,0.55
2970044,0.529
3036044,0.546
3102044,0.553
3168044,0.533
3234044,0.536
3300044,0.534
3366044,0.543
3432044,0.53
3498044,0.52
3564044,0.536
3630044,0.54
3696044,0.539
3762044,0.541
3828044,0.545
3894044,0.533
3960044,0.546
4026044,0.555
4092044,0.508
4158044,0.562
4224044,0.534
4290044,0.545
4356044,0.537
4422044,0.557
4488044,0.545
4554044,0.531
4620044,0.523
4686044,0.561
4752044,0.566
4818044,0.536
4884044,0.544
4950044,0.519
5016044,0.575
5082044,0.531
5148044,0.556
5214044,0.524
5280044,0.539
5346044,0.512
5412044,0.554
5478044,0.531
5544044,0.536
5610044,0.561
5676044,0.56
5742044,0.521
5808044,0.539
5874044,0.536
5940044,0.543
6006044,0.539
6072044,0.551
6138044,0.549
6204044,0.568
6270044,0.55
6336044,0.533
6402044,0.531
6468044,0.554
6534044,0.557
