timestep,reward
44,0.535
66044,0.541
132044,0.534
198044,0.526
264044,0.509
330044,0.541
396044,0.518
462044,0.493
528044,0.549
594044,0.536
660044,0.518
726044,0.524
792044,0.54
858044,0.541
924044,0.542
990044,0.55
1056044,0.547
1122044,0.55
1188044,0.53
1254044,0.539
1320044,0.541
1386044,0.525
1452044,0.507
1518044,0.554
1584044,0.541
1650044,0.524
1716044,0.545
1782044,0.552
1848044,0.536
1914044,0.536
1980044,0.541
2046044,0.555
2112044,0.557
2178044,0.55
2244044,0.547
2310044,0.547
2376044,0.548
2442044,0.555
2508044,0.543
2574044,0.54
2640044,0.553
2706044,0.545
2772044,0.58
2838044,0.557
2904044,0.576
2970044,0.575
3036044,0.536
3102044,0.574
3168044,0.537
3234044,0.565
3300044,0.55
3366044,0.541
3432044,0.542
3498044,0.536
3564044,0.53
3630044,0.567
3696044,0.558
3762044,0.553
3828044,0.565
3894044,0.543
3960044,0.559
4026044,0.546
4092044,0.531
4158044,0.54
4224044,0.53
4290044,0.59
4356044,0.534
4422044,0.553
4488044,0.54
4554044,0.548
4620044,0.546
4686044,0.591
4752044,0.571
4818044,0.563
4884044,0.563
4950044,0.525
5016044,0.57
5082044,0.521
5148044,0.561
5214044,0.537
5280044,0.54
5346044,0.531
5412044,0.553
5478044,0.542
5544044,0.558
5610044,0.557
5676044,0.573
5742044,0.547
5808044,0.565
5874044,0.549
5940044,0.552
6006044,0.556
6072044,0.559
6138044,0.576
6204044,0.562
6270044,0.556
6336044,0.538
6402044,0.558
6468044,0.544
6534044,0.558
