timestep,reward
44,0.52
66044,0.517
132044,0.533
198044,0.49
264044,0.499
330044,0.549
396044,0.518
462044,0.507
528044,0.529
594044,0.504
660044,0.521
726044,0.524
792044,0.523
858044,0.521
924044,0.544
990044,0.537
1056044,0.514
1122044,0.518
1188044,0.533
1254044,0.539
1320044,0.489
1386044,0.527
1452044,0.507
1518044,0.514
1584044,0.533
1650044,0.503
1716044,0.549
1782044,0.538
1848044,0.53
1914044,0.527
1980044,0.526
2046044,0.531
2112044,0.514
2178044,0.549
2244044,0.531
2310044,0.559
2376044,0.54
2442044,0.524
2508044,0.539
2574044,0.546
2640044,0.538
2706044,0.528
2772044,0.564
2838044,0.525
2904044,0.546
2970044,0.537
3036044,0.523
3102044,0.548
3168044,0.535
3234044,0.55
3300044,0.553
3366044,0.52
3432044,0.517
3498044,0.517
3564044,0.524
3630044,0.532
3696044,0.55
3762044,0.54
3828044,0.559
3894044,0.521
3960044,0.557
4026044,0.535
4092044,0.504
4158044,0.519
4224044,0.509
4290044,0.517
4356044,0.529
4422044,0.535
4488044,0.523
4554044,0.534
4620044,0.528
4686044,0.567
4752044,0.554
4818044,0.527
4884044,0.541
4950044,0.504
5016044,0.544
5082044,0.529
5148044,0.556
5214044,0.515
5280044,0.545
5346044,0.519
5412044,0.548
5478044,0.533
5544044,0.521
5610044,0.56
5676044,0.549
5742044,0.523
5808044,0.556
5874044,0.546
5940044,0.522
6006044,0.526
6072044,0.51
6138044,0.534
6204044,0.539
6270044,0.547
6336044,0.532
6402044,0.534
6468044,0.553
6534044,0.542
