timestep,reward
44,40.834
66044,40.936
132044,41.258
198044,40.622
264044,40.206
330044,40.984
396044,40.724
462044,40.245
528044,40.989
594044,41.355
660044,40.868
726044,41.085
792044,40.639
858044,41.302
924044,41.117
990044,41.261
1056044,41.631
1122044,41.621
1188044,41.525
1254044,41.115
1320044,41.443
1386044,41.164
1452044,40.938
1518044,41.812
1584044,41.283
1650044,41.379
1716044,41.635
1782044,41.513
1848044,41.073
1914044,40.833
1980044,41.785
2046044,42.191
2112044,41.402
2178044,42.143
2244044,41.538
2310044,41.661
2376044,41.767
2442044,41.645
2508044,41.368
2574044,41.045
2640044,41.936
2706044,41.976
2772044,42.544
2838044,42.068
2904044,41.98
2970044,41.687
3036044,41.627
3102044,42.223
3168044,41.909
3234044,41.827
3300044,42.072
3366044,41.326
3432044,41.488
3498044,41.721
3564044,41.773
3630044,41.785
3696044,41.995
3762044,42.081
3828044,41.927
3894044,41.722
3960044,42.269
4026044,42.059
4092044,41.386
4158044,41.831
4224044,41.695
4290044,42.133
4356044,42.055
4422044,42.097
4488044,41.577
4554044,42.311
4620044,41.73
4686044,42.444
4752044,42.562
4818044,42.04
4884044,41.968
4950044,41.866
5016044,42.274
5082044,41.823
5148044,42.389
5214044,42.205
5280044,41.791
5346044,41.31
5412044,42.171
5478044,41.797
5544044,41.518
5610044,42.072
5676044,42.767
5742044,41.922
5808044,42.597
5874044,41.243
5940044,41.835
6006044,42.23
6072044,41.955
6138044,42.525
6204044,42.484
6270044,42.285
6336044,41.765
6402044,41.662
6468044,42.453
6534044,42.677
