timestep,reward
44,41.014
66044,40.938
132044,41.301
198044,41.134
264044,41.185
330044,41.617
396044,41.092
462044,40.826
528044,41.697
594044,41.18
660044,41.379
726044,41.654
792044,41.052
858044,41.88
924044,41.622
990044,41.68
1056044,41.747
1122044,41.799
1188044,41.773
1254044,41.217
1320044,41.405
1386044,41.75
1452044,41.1
1518044,41.886
1584044,41.551
1650044,41.127
1716044,42.379
1782044,41.814
1848044,41.337
1914044,41.451
1980044,41.748
2046044,42.336
2112044,41.77
2178044,42.024
2244044,41.55
2310044,41.807
2376044,41.766
2442044,41.598
2508044,41.639
2574044,41.763
2640044,41.648
2706044,42.163
2772044,42.079
2838044,42.214
2904044,41.643
2970044,41.901
3036044,42.264
3102044,42.288
3168044,41.981
3234044,41.968
3300044,41.625
3366044,41.275
3432044,41.678
3498044,41.89
3564044,41.519
3630044,42.265
3696044,41.817
3762044,42.323
3828044,41.886
3894044,42.171
3960044,42.528
4026044,42.09
4092044,41.876
4158044,41.776
4224044,41.952
4290044,41.997
4356044,42.159
4422044,42.417
4488044,42.034
4554044,42.412
4620044,41.528
4686044,42.795
4752044,42.882
4818044,42.186
4884044,41.97
4950044,41.616
5016044,42.117
5082044,41.999
5148044,42.187
5214044,42.251
5280044,42.081
5346044,41.419
5412044,41.985
5478044,41.941
5544044,41.372
5610044,42.716
5676044,42.343
5742044,41.667
5808044,42.697
5874044,41.956
5940044,42.193
6006044,42.006
6072044,42.47
6138044,42.4
6204044,42.198
6270044,42.404
6336044,42.029
6402044,41.915
6468044,42.197
6534044,42.367
