timestep,reward
44,0.526
66044,0.522
132044,0.516
198044,0.516
264044,0.501
330044,0.522
396044,0.5
462044,0.512
528044,0.516
594044,0.528
660044,0.521
726044,0.528
792044,0.522
858044,0.523
924044,0.553
990044,0.517
1056044,0.553
1122044,0.529
1188044,0.536
1254044,0.52
1320044,0.545
1386044,0.538
1452044,0.497
1518044,0.538
1584044,0.545
1650044,0.513
1716044,0.538
1782044,0.552
1848044,0.534
1914044,0.51
1980044,0.537
2046044,0.544
2112044,0.543
2178044,0.558
2244044,0.524
2310044,0.549
2376044,0.533
2442044,0.531
2508044,0.534
2574044,0.535
2640044,0.525
2706044,0.535
2772044,0.54
2838044,0.537
2904044,0.543
2970044,0.54
3036044,0.54
3102044,0.556
3168044,0.523
3234044,0.552
3300044,0.539
3366044,0.545
3432044,0.528
3498044,0.543
3564044,0.508
3630044,0.549
3696044,0.535
3762044,0.548
3828044,0.545
3894044,0.541
3960044,0.554
4026044,0.544
4092044,0.513
4158044,0.54
4224044,0.53
4290044,0.552
4356044,0.541
4422044,0.543
4488044,0.545
4554044,0.548
4620044,0.556
4686044,0.573
4752044,0.551
4818044,0.54
4884044,0.532
4950044,0.529
5016044,0.562
5082044,0.527
5148044,0.561
5214044,0.5
5280044,0.56
5346044,0.536
5412044,0.553
5478044,0.521
5544044,0.53
5610044,0.551
5676044,0.568
5742044,0.525
5808044,0.539
5874044,0.503
5940044,0.532
6006044,0.527
6072044,0.536
6138044,0.564
6204044,0.554
6270044,0.537
6336044,0.523
6402044,0.523
6468044,0.533
6534044,0.541
