timestep,reward
44,0.545
66044,0.527
132044,0.534
198044,0.521
264044,0.506
330044,0.551
396044,0.515
462044,0.522
528044,0.529
594044,0.527
660044,0.522
726044,0.507
792044,0.496
858044,0.533
924044,0.533
990044,0.536
1056044,0.566
1122044,0.543
1188044,0.527
1254044,0.522
1320044,0.522
1386044,0.505
1452044,0.494
1518044,0.536
1584044,0.532
1650044,0.506
1716044,0.551
1782044,0.519
1848044,0.515
1914044,0.524
1980044,0.547
2046044,0.544
2112044,0.54
2178044,0.545
2244044,0.514
2310044,0.53
2376044,0.556
2442044,0.538
2508044,0.518
2574044,0.531
2640044,0.525
2706044,0.512
2772044,0.551
2838044,0.536
2904044,0.54
2970044,0.538
3036044,0.532
3102044,0.569
3168044,0.51
3234044,0.547
3300044,0.56
3366044,0.544
3432044,0.518
3498044,0.53
3564044,0.525
3630044,0.549
3696044,0.545
3762044,0.528
3828044,0.546
3894044,0.547
3960044,0.56
4026044,0.548
4092044,0.51
4158044,0.535
4224044,0.526
4290044,0.546
4356044,0.508
4422044,0.551
4488044,0.522
4554044,0.557
4620044,0.542
4686044,0.554
4752044,0.587
4818044,0.537
4884044,0.531
4950044,0.531
5016044,0.532
5082044,0.549
5148044,0.536
5214044,0.523
5280044,0.543
5346044,0.514
5412044,0.535
5478044,0.543
5544044,0.525
5610044,0.558
5676044,0.549
5742044,0.529
5808044,0.537
5874044,0.55
5940044,0.543
6006044,0.548
6072044,0.535
6138044,0.552
6204044,0.548
6270044,0.536
6336044,0.533
6402044,0.532
6468044,0.55
6534044,0.546
