timestep,reward
44,41.307
66044,40.699
132044,40.916
198044,40.777
264044,40.808
330044,41.053
396044,41.313
462044,40.354
528044,41.218
594044,41.399
660044,41.426
726044,41.374
792044,40.853
858044,41.378
924044,41.054
990044,41.11
1056044,41.565
1122044,40.967
1188044,41.234
1254044,40.719
1320044,40.946
1386044,40.859
1452044,40.482
1518044,41.001
1584044,40.884
1650044,40.582
1716044,41.204
1782044,41.35
1848044,40.958
1914044,40.979
1980044,41.221
2046044,41.853
2112044,41.343
2178044,41.334
2244044,40.908
2310044,40.997
2376044,41.16
2442044,41.391
2508044,40.98
2574044,40.97
2640044,40.679
2706044,41.061
2772044,41.862
2838044,40.972
2904044,41.303
2970044,41.131
3036044,40.709
3102044,41.352
3168044,40.643
3234044,40.723
3300044,40.709
3366044,41.014
3432044,40.839
3498044,40.292
3564044,40.699
3630044,41.268
3696044,41.245
3762044,41.279
3828044,41.13
3894044,40.79
3960044,41.212
4026044,41.162
4092044,40.537
4158044,40.913
4224044,40.622
4290044,40.836
4356044,40.697
4422044,40.967
4488044,40.696
4554044,40.833
4620044,40.495
4686044,41.795
4752044,41.339
4818044,41.033
4884044,40.943
4950044,40.869
5016044,41.086
5082044,40.725
5148044,40.977
5214044,40.933
5280044,40.643
5346044,40.296
5412044,41.003
5478044,40.991
5544044,40.582
5610044,41.215
5676044,41.258
5742044,40.497
5808044,41.165
5874044,40.721
5940044,40.927
6006044,41.075
6072044,41.111
6138044,40.99
6204044,41.35
6270044,40.868
6336044,40.866
6402044,40.796
6468044,40.997
6534044,41.527
