timestep,reward
44,40.895
66044,40.993
132044,41.265
198044,40.88
264044,40.363
330044,41.559
396044,40.73
462044,40.355
528044,41.141
594044,41.199
660044,41.275
726044,41.067
792044,41.006
858044,41.387
924044,41.236
990044,41.35
1056044,41.762
1122044,41.375
1188044,41.346
1254044,40.822
1320044,41.062
1386044,40.86
1452044,40.41
1518044,41.646
1584044,41.183
1650044,40.903
1716044,41.743
1782044,41.34
1848044,40.98
1914044,41.036
1980044,41.684
2046044,42.169
2112044,41.487
2178044,42.043
2244044,40.978
2310044,41.654
2376044,41.297
2442044,41.64
2508044,41.482
2574044,41.276
2640044,41.531
2706044,41.62
2772044,42.242
2838044,41.698
2904044,41.314
2970044,41.682
3036044,41.342
3102044,42.037
3168044,41.016
3234044,41.888
3300044,41.498
3366044,41.333
3432044,40.978
3498044,41.475
3564044,41.449
3630044,41.856
3696044,41.985
3762044,41.574
3828044,41.881
3894044,41.778
3960044,42.104
4026044,41.929
4092044,41.651
4158044,41.781
4224044,41.333
4290044,41.556
4356044,41.722
4422044,41.842
4488044,41.424
4554044,42.087
4620044,41.519
4686044,42.571
4752044,42.196
4818044,41.972
4884044,41.854
4950044,41.621
5016044,41.824
5082044,41.347
5148044,42.109
5214044,41.545
5280044,41.611
5346044,41.365
5412044,41.779
5478044,41.649
5544044,41.312
5610044,42.239
5676044,42.318
5742044,41.673
5808044,42.072
5874044,42.021
5940044,41.958
6006044,41.295
6072044,41.821
6138044,42.39
6204044,42.421
6270044,41.823
6336044,41.843
6402044,41.404
6468044,41.818
6534044,42.172
