timestep,reward
44,41.014
66044,40.425
132044,40.926
198044,40.578
264044,40.585
330044,41.062
396044,40.92
462044,40.453
528044,40.872
594044,41.314
660044,41.069
726044,40.895
792044,40.748
858044,41.467
924044,41.442
990044,41.572
1056044,42.032
1122044,41.461
1188044,41.997
1254044,41.069
1320044,41.324
1386044,41.188
1452044,40.674
1518044,41.735
1584044,41.18
1650044,41.124
1716044,41.723
1782044,41.691
1848044,41.433
1914044,41.012
1980044,41.731
2046044,42.156
2112044,41.392
2178044,42.353
2244044,41.865
2310044,41.537
2376044,41.786
2442044,41.893
2508044,42.07
2574044,40.899
2640044,42.061
2706044,41.615
2772044,42.403
2838044,41.852
2904044,41.663
2970044,42.11
3036044,41.953
3102044,42.232
3168044,41.502
3234044,42.024
3300044,41.767
3366044,41.774
3432044,41.794
3498044,41.767
3564044,41.751
3630044,42.029
3696044,42.491
3762044,42.105
3828044,42.683
3894044,42.228
3960044,42.616
4026044,42.565
4092044,41.835
4158044,41.995
4224044,41.829
4290044,42.545
4356044,42.11
4422044,42.829
4488044,42.155
4554044,42.484
4620044,42.103
4686044,43.249
4752044,42.952
4818044,42.429
4884044,41.767
4950044,42.099
5016044,42.649
5082044,42.125
5148044,42.612
5214044,42.045
5280044,42.512
5346044,41.831
5412044,42.58
5478044,41.876
5544044,41.862
5610044,42.403
5676044,42.931
5742044,42.229
5808044,42.824
5874044,42.289
5940044,42.375
6006044,42.321
6072044,42.419
6138044,42.703
6204044,42.367
6270044,42.157
6336044,42.202
6402044,42.129
6468044,42.525
6534044,42.748
